Start;End;Sleep Quality;Regularity;Mood;Heart rate (bpm);Steps;Alarm mode;Air Pressure (Pa);City;Movements per hour;Time in bed (seconds);Time asleep (seconds);Time before sleep (seconds);Window start;Window stop;Did snore;Snore time;Weather temperature (°F);Weather type;Notes
2021-05-15 23:25:30;2021-05-16 05:41:33;64%;0%;;0;0;No alarm;0.0;;18.3;22562.6;22111.4;451.3;;;true;743.0;32.0;No weather;
2021-05-25 01:51:38;2021-05-25 06:52:27;52%;0%;;0;0;Normal;99.8;;33.9;18048.7;17326.7;361.0;2021-05-25 06:50:00;2021-05-25 07:20:00;true;185.4;32.0;No weather;
2021-06-27 01:49:25;2021-06-27 05:26:04;37%;0%;Good;59;5890;Normal;99.3;Hermiston;3178.8;12998.9;10442.5;260.0;2021-06-27 11:30:00;2021-06-27 12:00:00;true;527.4;79.0;Sunny;Ate late:Good day:Swam
2021-06-28 02:05:29;2021-06-28 07:59:09;58%;77%;Good;55;2601;Normal;99.0;Hermiston;1986.0;21220.3;18037.2;424.4;2021-06-28 09:45:00;2021-06-28 10:15:00;true;0.0;78.1;Sunny;
2021-06-29 00:47:31;2021-06-29 07:02:07;64%;79%;Good;54;10780;Normal;98.6;Hermiston;4219.9;22476.4;18655.4;449.5;2021-06-29 06:50:00;2021-06-29 07:20:00;true;0.0;86.5;Sunny;Ate late:Good day:Swam:Tired
2021-06-29 19:00:04;2021-06-30 01:13:16;64%;54%;Good;59;6031;No alarm;98.2;Hermiston;3928.2;22391.4;19405.9;447.8;;;true;0.0;103.1;Sunny;Daylight:Nap:Tired
2021-06-30 01:13:56;2021-06-30 04:53:28;37%;0%;Good;52;6097;Normal;98.4;Hermiston;5932.1;13172.1;10318.2;263.4;2021-06-30 04:30:00;2021-06-30 05:00:00;true;0.0;81.9;Sunny;
2021-06-30 23:58:48;2021-07-01 06:30:35;64%;33%;Good;53;2928;Normal;99.0;Hermiston;8073.6;23507.0;23036.9;470.1;2021-07-01 07:30:00;2021-07-01 08:00:00;true;240.0;73.9;Sunny;Good day:Tired
2021-07-01 22:44:29;2021-07-02 06:46:33;64%;35%;Good;56;3807;Normal;94.4;Tieton;513.8;28924.1;23428.5;1735.4;2021-07-02 06:35:00;2021-07-02 07:05:00;true;60.0;63.1;Sunny;Bath:Good day:Tired
2021-07-03 02:11:16;2021-07-03 08:09:11;58%;54%;Good;65;9408;Normal;99.2;Hermiston;6885.2;21474.4;18396.4;429.5;2021-07-03 08:30:00;2021-07-03 09:00:00;true;105.5;74.5;Sunny;Good day:Tired
2021-07-04 05:41:18;2021-07-04 07:42:31;23%;71%;Good;54;9340;Normal;99.2;Hermiston;4267.0;7273.3;7127.8;145.5;2021-07-04 07:30:00;2021-07-04 08:00:00;true;0.0;76.5;Sunny;Daylight:Mate:Tired
2021-07-05 02:08:12;2021-07-05 08:12:34;64%;64%;Good;55;3511;Normal;99.3;Hermiston;3990.3;21862.9;18292.0;437.3;2021-07-05 09:30:00;2021-07-05 10:00:00;true;60.0;73.9;Sunny;
2021-07-06 00:55:18;2021-07-06 07:30:24;64%;72%;Good;53;2393;Normal;99.4;Hermiston;7609.1;23705.6;23231.5;474.1;2021-07-06 07:30:00;2021-07-06 08:00:00;true;1709.4;77.7;Sunny;Good day:Tired
2021-07-07 04:42:27;2021-07-07 06:54:35;23%;71%;Good;54;3863;Normal;99.0;Hermiston;9755.3;7927.8;7505.0;158.6;2021-07-07 06:45:00;2021-07-07 07:15:00;true;1400.1;75.2;Fair;Energy Drink:Good day:Tired
2021-07-08 00:13:04;2021-07-08 07:49:02;64%;68%;Good;54;5123;Normal;99.3;Hermiston;6420.3;27357.2;26810.1;547.1;2021-07-08 07:45:00;2021-07-08 08:15:00;true;860.0;70.7;Sunny;
